,256GB 12GB RAM,Dimensions,Camera,_4,Phonebook,Model Image,Type_1,Build,Penta,_1,Battery (old),Model Name,Loudspeaker_1,Messaging,Card slot,Brand,Speed,EDGE,SAR,Quad,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Triple,4G bands,Features,Java,Features_1,Price,Display,Single_1,Type,256GB 8GB RAM,Games,Chipset,WLAN,Call records,3G bands,Size,Single,Protection,Bluetooth,Radio,USB,Dual,Status,Internal,Performance,OS,256GB 6GB RAM,Colors,Audio quality,Battery (new),5G bands,512GB 12GB RAM,GPRS,Weight,Infrared port,Resolution
CDMA 800 / 1900,,165.9 x 81 x 13.6 mm (6.53 x 3.19 x 0.54 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-7e.jpg,Li-Po 5500 mAh,,,CDMA2000 1xEV-DO,,Ulefone Armor 7E,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat13 600/150 Mbps",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, heart rate, baroceptor, coulombmeter",1080p@30fps,15W wired10W wireless,IP68 dust/water resistantDrop resistant up to 1.2mMIL-STD-810G compliant,PowerVR GM9446,"2020, March 30",Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / EVDO / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,No,"4K@30fps, 1080p@30fps",Yes,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.2, (macro)2 MP, f/2.2, (depth)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","5-LED flash, HDR, panorama",,,About 250 EUR,,,IPS LCD,,,Mediatek MT6779 Helio P90 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.3 inches, 97.4 cm2(~72.5% screen-to-body ratio)","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",,"5.0, A2DP, LE","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2020, March 30",128GB 4GB RAM,,Android 9.0 (Pie),,Black,,,,,,290 g (10.23 oz),,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,150 x 78.9 x 14.6 mm (5.91 x 3.11 x 0.57 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x7.jpg,Li-Po 4000 mAh,,,eMMC 5.1,,Ulefone Armor X7,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE Cat6 300/150 Mbps",,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",720p@30fps,,,PowerVR GE8320,"2020, March 19",Quad-core 1.8 GHz Cortex-A53,"GPS, GLONASS, GALILEO",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20",Dual-LED flash,,,About 80 EUR,,"5 MP, f/2.2",IPS LCD,,,Mediatek MT6761 Helio A20 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.0 inches, 68.9 cm2(~58.2% screen-to-body ratio)","13 MP, f/2.2, (wide), AF",,"5.0, A2DP, LE",FM radio,microUSB 2.0,,"Available. Released 2020, March 19",16GB 2GB RAM,,Android 10,,"Black, Orange",,,,,,234 g (8.25 oz),,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
CDMA 800 / 1900,,165.9 x 81 x 13.6 mm (6.53 x 3.19 x 0.54 in),Photo/Video,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor7.jpg,Li-Po 5500 mAh,,,CDMA2000 1xEV-DO,Endurance rating 140h,Ulefone Armor 7,-31.6 LUFS (Below average),,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat13 600/150 Mbps",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, heart rate, baroceptor, coulombmeter",1080p@30fps,15W wired10W wireless,IP69K dust/water resistantDrop resistant up to 1.2mMIL-STD-810G compliant,PowerVR GM9446,"2019, October",Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / EVDO / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,No,"4K@30fps, 1080p@30fps",Yes,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF16 MP, f/2.0, (wide), AF8 MP, f/2.4, (telephoto)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","5-LED flash, HDR, panorama",,,About 440 EUR,"1455:1 contrast ratio, 406 nits max brightness (measured)",,IPS LCD,,,Mediatek MT6779 Helio P90 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.3 inches, 97.4 cm2(~72.5% screen-to-body ratio)","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",,"5.0, A2DP, LE","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2019, October",128GB 8GB RAM,"AnTuTu: 163017 (v7), 216770 (v8)GeekBench: 6913 (v4.4), 1476 (v5.1)GFXBench: 7.5fps (ES 3.1 onscreen)",Android 9.0 (Pie),,Black,Noise -93.6dB / Crosstalk -72.0dB,,,,,290 g (10.23 oz),,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,150 x 78.9 x 14.4 mm (5.91 x 3.11 x 0.57 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armorx6.jpg,Li-Po 4000 mAh,,,eMMC 5.1,,Ulefone Armor X6,,,microSDXC (uses shared SIM slot),Ulefone,HSPA 42.2/11.5 Mbps,,,,"Accelerometer, proximity, compass",720p@30fps,,,Mali-400,"2019, December",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,,,Dual-LED flash,,,,,5 MP,IPS LCD,,,Mediatek MT6580 (28 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.0 inches, 68.9 cm2(~58.2% screen-to-body ratio)","8 MP, f/2.2, (wide), AF",,"4.0, A2DP","Stereo FM radio, RDS, recording",microUSB 2.0,,"Available. Released 2019, December",16GB 2GB RAM,,Android 9.0 (Pie),,Black,,,,,,223.8 g (7.90 oz),,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
CDMA 800 / 1900,,166 x 83 x 13.3 mm (6.54 x 3.27 x 0.52 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor6s.jpg,Li-Po 5000 mAh,,,CDMA2000 1xEV-DO,,Ulefone Armor 6S,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat7 300/150 Mbps",,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, baroceptor, uv sensor",1080p@30fps,18W wired10W wireless,IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,Mali-G72 MP3,"2019, September",Octa-core (4x2.1 GHz Cortex-A73 & 4x2.1 GHz Cortex-A53),"GPS, GLONASS, BDS",GSM / CDMA / HSPA / EVDO / LTE,Yes,Nano-SIM + Nano-SIM,eMMC 5.1,GSM 850 / 900 / 1800 / 1900,No,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Dual-LED flash, HDR, panorama",,,,,,IPS LCD,,,Mediatek MT6771 Helio P70 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.2 inches, 96.9 cm2(~70.3% screen-to-body ratio)",8 MP,,"4.2, A2DP, LE","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG","16 MP, f/2.0, (wide), AF8 MP","Available. Released 2019, October",128GB 6GB RAM,,Android 9.0 (Pie),,Black/Red,,,,,,270 g (9.52 oz),,"1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)"
CDMA 800 / 1900,,164.8 x 79.2 x 18.2 mm (6.49 x 3.12 x 0.72 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor3w.jpg,Li-Po 10300 mAh,,,CDMA2000 1xEV-DO,,Ulefone Armor 3W,,,microSDXC (dedicated slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat7 300/150 Mbps",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, coulombmeter",1080p@30fps,18W wired,IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,Mali-G72 MP3,"2019, September",Octa-core (4x2.1 GHz Cortex-A73 & 4x2.1 GHz Cortex-A53),"GPS, GLONASS, BDS",GSM / CDMA / HSPA / EVDO / LTE,Yes,Nano-SIM + Nano-SIM,eMMC 5.1,GSM 850 / 900 / 1800 / 1900,No,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41","Dual-LED dual-tone flash, HDR, panorama",,,,,8 MP,IPS LCD,,,Mediatek MT6771 Helio P70 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"5.7 inches, 83.8 cm2(~64.2% screen-to-body ratio)","21 MP, f/1.8, (wide), 1/2.4"", 1.12µm, PDAF",,"4.1, A2DP","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2019, September",64GB 6GB RAM,,Android 9.0 (Pie),,Black/Orange,,,,,,365 g (12.87 oz),,"1080 x 2160 pixels, 18:9 ratio (~424 ppi density)"
CDMA 800 / 1900,,164.8 x 79.2 x 18.2 mm (6.49 x 3.12 x 0.72 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor3wt.jpg,Li-Po 10300 mAh,,,CDMA2000 1xEV-DO,,Ulefone Armor 3WT,,,microSDXC (dedicated slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat7 300/150 Mbps",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, coulombmeter",1080p@30fps,18W wired,IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliantExternal antenna,Mali-G72 MP3,"2019, September",Octa-core (4x2.1 GHz Cortex-A73 & 4x2.1 GHz Cortex-A53),"GPS, GLONASS, BDS",GSM / CDMA / HSPA / EVDO / LTE,Yes,Nano-SIM + Nano-SIM,eMMC 5.1,GSM 850 / 900 / 1800 / 1900,No,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41","Dual-LED dual-tone flash, HDR, panorama",,,,,8 MP,IPS LCD,,,Mediatek MT6771 Helio P70 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"5.7 inches, 83.8 cm2(~64.2% screen-to-body ratio)","21 MP, f/1.8, (wide), 1/2.4"", 1.12µm, PDAF",,"4.1, A2DP","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2019, September",64GB 6GB RAM,,Android 9.0 (Pie),,Black,,,,,,373.7 g (13.33 oz),,"1080 x 2160 pixels, 18:9 ratio (~424 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,150 x 78.9 x 14.4 mm (5.91 x 3.11 x 0.57 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armorx5.jpg,Li-Po 5000 mAh,,,eMMC 5.1,,Ulefone Armor X5,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat7 300/150 Mbps",,,,"Accelerometer, proximity, compass",720p@30fps,10W wired,,Mali-G71 MP2,"2019, December",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"GPS, GLONASS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28",Dual-LED flash,,,,,,IPS LCD,,,Mediatek MT6763 Helio P23 (16 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.5 inches, 78.1 cm2(~66.0% screen-to-body ratio)",5 MP,,"5.0, A2DP, LE","Stereo FM radio, RDS, recording",microUSB 2.0,"13 MP, f/1.8, (wide), AF2 MP","Available. Released 2019, December",32GB 3GB RAM,,Android 9.0 (Pie),,"Black, Red, Orange",,,,,,223.8 g (7.90 oz),,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)"
CDMA 800 / 1900,,167.6 x 80.3 x 8.7 mm (6.60 x 3.16 x 0.34 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-t2.jpg,Li-Po 4200 mAh,,,CDMA2000 1xEV-DO,,Ulefone T2,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat7 300/150 Mbps",,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,18W wired10W wireless,eMMC 5.1,Mali-G72 MP3,"2019, August",Octa-core (4x2.1 GHz Cortex-A73 & 4x2.1 GHz Cortex-A53),"GPS, GLONASS, BDS",GSM / CDMA / HSPA / EVDO / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,No,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 34, 38, 39, 40, 41","Dual-LED dual-tone flash, HDR, panorama",,,,,8 MP,IPS LCD,,,Mediatek MT6771 Helio P70 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.7 inches, 112.0 cm2(~83.3% screen-to-body ratio)","16 MP, f/1.8, (wide), AF8 MP",,"4.2, A2DP, LE","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2019, August",128GB 6GB RAM,,Android 9.0 (Pie),,"Bordeaux Red, Glacier Blue",,,,,,197.2 g (6.95 oz),,"1080 x 2280 pixels, 19:9 ratio (~377 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,158 x 77.5 x 13.9 mm (6.22 x 3.05 x 0.55 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armorx3.jpg,Li-Po 5000 mAh,,,eMMC 5.1,,Ulefone Armor X3,,,microSDXC (uses shared SIM slot),Ulefone,HSPA 21.1/5.76 Mbps,,,,"Accelerometer, proximity, compass",720p@30fps,10W wired,,Mali-400,"2019, July",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,,Dual-LED flash,,,,,,IPS LCD,,,Mediatek MT6580 (28 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.5 inches, 78.1 cm2(~63.8% screen-to-body ratio)",5 MP,,"4.0, A2DP","Stereo FM radio, RDS, recording",microUSB 2.0,"8 MP, f/1.8, (wide), AF2 MP","Available. Released 2019, July",32GB 2GB RAM,,Android 9.0 (Pie),,"Black, Red, Silver",,,,,,235 g (8.29 oz),,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,158.3 x 76 x 12.6 mm (6.23 x 2.99 x 0.50 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor5s.jpg,Li-Po 5000 mAh,,,eMMC 5.1,,Ulefone Armor 5S,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat7 300/150 Mbps",,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, coulombmeter",1080p@30fps,10W wired10W wireless,,Mali-G71 MP2,"2019, July",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"GPS, GLONASS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,No,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20","Dual-LED dual-tone flash, HDR, panorama",,,,,,IPS LCD,,,Mediatek MT6763 Helio P23 (16 nm),"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.85 inches, 85.7 cm2(~71.2% screen-to-body ratio)",8 MP,,"4.0, A2DP","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG","13 MP, f/1.8, (wide), AF2 MP","Available. Released 2019, July",64GB 4GB RAM,,Android 9.0 (Pie),,Black,,,,,,228 g (8.04 oz),,"720 x 1512 pixels, 19:9 ratio (~286 ppi density)"
CDMA 800 / 1900,,166 x 83 x 13.3 mm (6.54 x 3.27 x 0.52 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor6e.jpg,Li-Po 5000 mAh,,,CDMA2000 1xEV-DO,,Ulefone Armor 6E,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat7 300/150 Mbps",,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, baroceptor, uv sensor",1080p@30fps,18W wired10W wireless,IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,Mali-G72 MP3,"2019, May",Octa-core (4x2.1 GHz Cortex-A73 & 4x2.1 GHz Cortex-A53),"GPS, GLONASS, BDS",GSM / CDMA / HSPA / EVDO / LTE,Yes,Nano-SIM + Nano-SIM,eMMC 5.1,GSM 850 / 900 / 1800 / 1900,No,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 66, 34, 38, 39, 40, 41","LED flash, HDR, panorama",,,,,,IPS LCD,,,Mediatek MT6771 Helio P70 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.2 inches, 96.9 cm2(~70.3% screen-to-body ratio)",8 MP,,"4.2, A2DP, LE","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG","16 MP, f/1.8, (wide), AF2 MP","Available. Released 2019, May",64GB 4GB RAM,,Android 9.0 (Pie),,"Black, Red",,,,,,267.5 g (9.45 oz),,"1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)"
eMMC 5.1,,156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note7p.jpg,Li-Po 3500 mAh,,,,,Ulefone Note 7P,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat7 300/150 Mbps",,,,"Fingerprint (rear-mounted), accelerometer, proximity",,,,PowerVR GE8320,"2019, May",Quad-core 2.0 GHz Cortex-A53,"GPS, GLONASS",GSM / HSPA / LTE,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"8 MP, f/1.8, (wide), AF2 MP2 MP","1, 3, 5, 7, 8, 20","LED flash, HDR",,,,,,IPS LCD,,,Mediatek MT6761 Helio A22 (16 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 2100,"6.1 inches, 92.3 cm2(~80.2% screen-to-body ratio)",5 MP,,"5.0, A2DP, LE","Stereo FM radio, RDS, recording",microUSB 2.0,,"Available. Released 2019, May",32GB 3GB RAM,,Android 9.0 (Pie),,"Black, Gold, Twilight",,,,,,178.8 g (6.31 oz),,600 x 1280 pixels (~232 ppi density)
eMMC 5.1,,156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-s11-.jpg,Li-Po 3500 mAh,,,,,Ulefone S11,,,microSDXC (uses shared SIM slot),Ulefone,HSPA 21.1/5.76 Mbps,,,,"Accelerometer, proximity",720p@30fps,,,Mali-400,"2019, April",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,"8 MP, f/1.8, (wide), AF2 MP2 MP",,"LED flash, HDR",,,,,,IPS LCD,,,Mediatek MT6580 (28 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1900 / 2100,"6.1 inches, 92.3 cm2(~80.2% screen-to-body ratio)",5 MP,,"4.0, A2DP","Stereo FM radio, RDS, recording",microUSB 2.0,,"Available. Released 2019, April",32GB 3GB RAM,,Android 8.1 Oreo (Go edition),,"Black, Gold, Twilight",,,,,,177.5 g (6.28 oz),,600 x 1280 pixels (~232 ppi density)
eMMC 5.1,,156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note7-.jpg,Li-Po 3500 mAh,,,,,Ulefone Note 7,,,microSDXC (uses shared SIM slot),Ulefone,HSPA 21.1/5.76 Mbps,,,,"Accelerometer, proximity",720p@30fps,,,Mali-400,"2019, April",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,"8 MP, f/1.8, (wide), AF2 MP2 MP",,"LED flash, HDR",,,,,,IPS LCD,,,Mediatek MT6580 (28 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1900 / 2100,"6.1 inches, 92.3 cm2(~80.2% screen-to-body ratio)",5 MP,,"4.0, A2DP","Stereo FM radio, RDS, recording",microUSB 2.0,,"Available. Released 2019, April",32GB 3GB RAM,,Android 8.1 Oreo (Go edition),,"Black, Gold, Twilight",,,,,,177.5 g (6.28 oz),,600 x 1280 pixels (~232 ppi density)
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,163 x 76.6 x 13.9 mm (6.42 x 3.02 x 0.55 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armorx2.jpg,Li-Po 5500 mAh,,,eMMC 5.1,,Ulefone Armor X2,,,microSDXC (uses shared SIM slot),Ulefone,HSPA 21.1/5.76 Mbps,,,,"Fingerprint (side-mounted), accelerometer, proximity",720p@30fps,10W wired,,Mali-400,"2018, December",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,Yes,,,"Dual-LED flash, HDR",,,,,,IPS LCD,,,Mediatek MT6580 (28 nm),Wi-Fi 802.11 b/g/n,,HSDPA 900 / 2100,"5.5 inches, 78.1 cm2(~62.5% screen-to-body ratio)",5 MP,,"4.0, A2DP","Stereo FM radio, RDS, recording",microUSB 2.0,"8 MP, f/1.8, (wide), AF5 MP","Available. Released 2018, December",16GB 2GB RAM,,Android 8.1 (Oreo),,"Dark Gray, Rose Gold",,,,,,256 g (9.03 oz),,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)"
,,148.6 x 70.7 x 9.6 mm (5.85 x 2.78 x 0.38 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-s1.jpg,Li-Po 3000 mAh,,,,,Ulefone S1,,,microSDXC (uses shared SIM slot),Ulefone,HSPA 21.1/5.76 Mbps,,,,"Accelerometer, proximity",,,,Mali-400,"2018, August",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,,,"LED flash, HDR",,,,,,IPS LCD,,,Mediatek MT6580 (28 nm),Wi-Fi 802.11 b/g/n,,HSDPA 900 / 2100,"5.5 inches, 78.1 cm2(~74.3% screen-to-body ratio)",2 MP,,"4.0, A2DP","Stereo FM radio, RDS, recording",microUSB 2.0,"5 MP, f/2.2, (wide), AF5 MP","Available. Released 2018, August",8GB 1GB RAM,,Android 8.1 Oreo (Go edition),,"Gold, Black",,,,,,183 g (6.46 oz),,"480 x 960 pixels, 18:9 ratio (~195 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,163 x 76.6 x 13.9 mm (6.42 x 3.02 x 0.55 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armorx.jpg,Li-Po 5500 mAh,,,eMMC 5.1,,Ulefone Armor X,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/75 Mbps",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",720p@30fps,10W wired,,PowerVR GE8100,"2018, April",Quad-core 1.5 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,Yes,,"1, 3, 7, 8, 20","Dual-LED flash, HDR",,,,,,IPS LCD,,,Mediatek MT6739 (28 nm),"Wi-Fi 802.11 a/b/g/n, dual-band",,HSDPA 850 / 900 / 2100,"5.5 inches, 78.1 cm2(~62.5% screen-to-body ratio)",5 MP,,"4.1, A2DP","Stereo FM radio, RDS, recording",microUSB 2.0,"8 MP, f/1.8, (wide), AF5 MP","Available. Released 2018, April",16GB 2GB RAM,,Android 8.1 (Oreo),,"Dark Gray, Rose Gold",,,,,,256 g (9.03 oz),,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)"
