,Single_1,Alert types,OS,128GB 12GB RAM,Stand-by_1,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,Display,128GB 8GB RAM,Browser,Talk time,Alarm,32GB 2GB RAM,Clock,_7,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Keyboard,Dual,Single,Talk time_1,2G bands,Resolution,512GB 8GB RAM,128GB 4GB RAM,Announced,Technology,_1,SAR,_6,_8,GPU,Battery (new),Model Image,Size,Model Name,1TB 12GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,256GB 4GB RAM,SAR EU,_2,_9,SIM,Triple,Infrared port,Battery (old),16GB 2GB RAM,Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,_10,Games,Quad,Weight,WLAN,Video,Languages,Speed,Build,NFC,_5,16GB 1.5GB RAM,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,Dual_1,3G bands,Video_1,_4,Sensors
No,,,,,,Yes,,,Yes,Discontinued,,,,,Up to 12 h,,,,,,,,Yes,No,FM radio,,,,,,About 50 EUR,,,,3.15 MP,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,2015. Released 2015,GSM,MP3/WAV/eAAC+ playerMP4/H.263 playerOrganizerVoice memo,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-metro-360.jpg,"2.4 inches, 17.8 cm2(~30.7% screen-to-body ratio)",Samsung Metro 360,,,Yes,,No,,"Li-Ion 1000 mAh, removable",,,312 MHz,,,,,"Dual SIM (Mini-SIM, dual stand-by)",,,,,microSDHC (dedicated slot),,SMS,117.3 x 49.5 x 11.4 mm (4.62 x 1.95 x 0.45 in),,64MB RAM,microUSB 2.0,SM-B360E,,Yes,"3.0, A2DP",,Downloadable,,83 g (2.93 oz),No,240p@15fps,,,,No,,,Samsung,,,,"Black, White, Brown","TFT, 256K colors",,,,,,
IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810G compliant,,,,,,Yes,,Spreadtrum SC7703,Yes,Discontinued,,,,,,,,,,,,,,,"FM radio, RDS",,,,,,About 110 EUR,,,,3.15 MP,,GSM 850 / 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,"2015, July. Released 2015, July",GSM / HSPA,No,0.56 W/kg (head)     1.06 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-xcover-3.jpg,"2.4 inches, 17.8 cm2(~24.6% screen-to-body ratio)",Samsung Xcover 550,,,Yes,,To be confirmed,,"Li-Ion 1500/1300 mAh, removable","Yes, MIDP 2.0",LED flash,Dual-core 460 MHz,,0.78 W/kg (head)     0.44 W/kg (body),MP3/WAV/eAAC+ playerMP4/H.263 playerOrganizerVoice memo,,Mini-SIM,,,,,microSDHC (dedicated slot),,"SMS, MMS, Email, IM",129 x 56.2 x 14 mm (5.08 x 2.21 x 0.55 in),,256MB 128MB RAM,microUSB 2.0,SM-B550H,,Yes,"3.0, A2DP",,Downloadable,,124 g (4.37 oz),No,Yes,,HSPA 7.2/5.76 Mbps,,No,,,Samsung,,,,"Steel Grey, Dark Silver",TFT,,,HSDPA 900 / 2100,,,
"IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliant salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant","5 MP, f/1.9, 22mm (wide)",,"Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow), TouchWiz UI",,,Yes,,Exynos 7420 Octa (14 nm),,Discontinued,,,,,Up to 24 h (3G),,,,,,,Up to 57 h,,,No,15W wiredWireless (Qi/PMA) (market dependent),"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 29, 40",,Up to 504 h (3G),,About 350 EUR,,,,"16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF",,GSM 850 / 900 / 1800 / 1900,"1440 x 2560 pixels, 16:9 ratio (~576 ppi density)",,,"2015, June. Released 2015, June",GSM / HSPA / LTE,UFS 2.0,1.19 W/kg (head)     1.58 W/kg (body),,,Mali-T760MP8,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-active.jpg,"5.1 inches, 71.7 cm2(~66.5% screen-to-body ratio)",Samsung Galaxy S6 active,,,,,"GPS, GLONASS",,"Li-Ion 3500 mAh, non-removable",,"LED flash, auto-HDR, panorama",Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),,0.48 W/kg (head)     0.42 W/kg (body),ANT+S-Voice natural language commands and dictation,,Nano-SIM,,Yes,Endurance rating 109h,,No,Corning Gorilla Glass 4,,146.8 x 73.4 x 8.6 mm (5.78 x 2.89 x 0.34 in),,"32GB 3GB RAM, 64GB 3GB RAM",microUSB 2.0,SM-G890A,,Yes,"4.1, A2DP, LE, aptX",,,,170 g (6.00 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4K@30fps, 1080p@30/60fps, 720p@120fps, HDR, stereo sound rec., OIS, gyro-EIS",,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps",,Yes,,,Samsung,,,,"White, Gray",Super AMOLED,,,HSDPA 850 / 1900 / 2100,1080p@30fps,,"Accelerometer, gyro, proximity, compass, barometer, heart rate"
,2 MP,,Android 4.4 (KitKat),,,Yes,,,,Discontinued,,,,,Up to 8 h (multimedia) (2G) / Up to 18 h (3G),,,,,,,Up to 71 h,,,No,,,,,,About 130 EUR,,,,2 MP,,GSM 850 / 900 / 1800 / 1900,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,,"2015, March. Released 2015, April",GSM / HSPA,,0.45 W/kg (head)     1.58 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-3-v.jpg,"7.0 inches, 137.9 cm2(~61.3% screen-to-body ratio)",Samsung Galaxy Tab 3 V,,,,,"GPS, GLONASS",,"Li-Ion 3600 mAh, non-removable",,,Quad-core 1.3 GHz,,0.66 W/kg (head)     0.66 W/kg (body),,,Micro-SIM,,,,,microSDHC (dedicated slot),,,193.4 x 116.4 x 9.7 mm (7.61 x 4.58 x 0.38 in),,8GB 1GB RAM,microUSB 2.0,"SM-T116, SM-T116BU, SM-T116NQ, SM-T116NU, SM-T116NY",,Yes,"4.0, A2DP",,,,322 g (11.36 oz),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",480p@24fps,,HSPA,,No,,,Samsung,,,,"White, Black",TFT,,,HSDPA 900 / 2100,,,Accelerometer
Stylus,2 MP,,Android 5.0 (Lollipop),,,Yes,,,,Discontinued,,,,,Up to 14 h 30 min (multimedia) (2G) / Up to 40 h (3G),,,,,,,Up to 178 h,,,No,,"1, 3, 5, 7, 8, 20, 28, 40",,,,About 340 EUR,,,,"5 MP, AF",,GSM 850 / 900 / 1800 / 1900,"768 x 1024 pixels, 4:3 ratio (~132 ppi density)",,,"2015, July. Released 2015, July",GSM / HSPA / LTE,,1.47 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a-and-s-pen.jpg,"9.7 inches, 291.4 cm2(~72.0% screen-to-body ratio)",Samsung Galaxy Tab A 9.7 & S Pen,,,,,"GPS, GLONASS, BDS",,"Li-Ion 6000 mAh, non-removable",,,Quad-core 1.2 GHz,,0.83 W/kg (body),,,Micro-SIM,,,,,microSDXC (dedicated slot),,,242.5 x 166.8 x 7.5 mm (9.55 x 6.57 x 0.30 in),,16GB 2GB RAM,microUSB 2.0,"SM-P550, SM-P555",,"Yes, dual speakers","4.1, A2DP",,,,490 g (1.08 lb),"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",720p,,"HSPA, LTE Cat4 150/50 Mbps",,No,,,Samsung,,,,"Black, White, Gray",TFT,,,HSDPA 850 / 900 / 1900 / 2100,,,"Accelerometer, compass"
Stylus - P550/P555 only,2 MP,,"Android 5.0 (Lollipop), upgradable to 6.0.1 (Marshmallow)",,,Yes,,,,Discontinued,,,,,Up to 14 h 30 min (multimedia) (2G) / Up to 40 h (3G),,,,,,,Up to 160 h,,,No,,"1, 3, 5, 7, 8, 20",,,,About 250 EUR,,,,"5 MP, AF",,GSM 850 / 900 / 1800 / 1900,"768 x 1024 pixels, 4:3 ratio (~132 ppi density)",,,"2015, March. Released 2015, May",GSM / HSPA / LTE,ANT+,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a-80.jpg,"9.7 inches, 291.4 cm2(~72.0% screen-to-body ratio)",Samsung Galaxy Tab A 9.7,,,,,"GPS, GLONASS - cellular model only",,"Li-Ion 6000 mAh, non-removable",,,Quad-core 1.2 GHz,,0.96 W/kg (body),,,Micro-SIM - cellular model only,,,,,microSDXC (dedicated slot),,,242.5 x 166.8 x 7.5 mm (9.55 x 6.57 x 0.30 in),,"16GB 1.5GB RAM (Wi-Fi), 16GB 2GB RAM (LTE), 32GB 2GB RAM (LTE)",microUSB 2.0,"SM-T555, SM-T550, SM-P555, SM-P550",,"Yes, dual speakers","4.1, A2DP",,,,"450 g (Wi-Fi), 453 g (LTE) (0.99 lb)","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",720p@30fps,,"HSPA, LTE Cat4 150/50 Mbps - cellular model only",,No,,,Samsung,,,,"Smoky Titanium, Smoky Blue, White",TFT,,,HSDPA 850 / 900 / 1900 / 2100,,,Accelerometer
Stylus,2 MP,,Android 5.0 (Lollipop),,,Yes,,,,"Available. Released 2015, May",,,,,Up to 28 h (3G),,,,,,,Up to 114 h,,,No,,"1, 3, 5, 7, 8, 28, 40",,,,About 220 EUR,,,,"5 MP, AF",,GSM 850 / 900 / 1800 / 1900,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",,,"2015, March",GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a-80-p355.jpg,"8.0 inches, 198.2 cm2(~69.0% screen-to-body ratio)",Samsung Galaxy Tab A 8.0 & S Pen (2015),,,,,"GPS, GLONASS, BDS - cellular model only",,"Li-Ion 4200 mAh, non-removable",,,Quad-core 1.2 GHz,,,,,Micro-SIM - cellular model only,,,,,microSDXC (dedicated slot),,,208.4 x 137.9 x 7.5 mm (8.20 x 5.43 x 0.30 in),,16GB 2GB RAM,microUSB 2.0,SM-P355,,Yes,"4.1, A2DP",,,,338 g (11.92 oz),"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",720p,,"HSPA, LTE - cellular model only",,No,,,Samsung,,,,"Black, Gray, White",TFT,,,HSDPA 850 / 900 / 1900 / 2100,,,Accelerometer
,2 MP,,Android 5.0 (Lollipop),,,Yes,,,,Discontinued,,,,,Up to 11 h (3G),,,,,,,Up to 120 h,,,No,,"1, 3, 7, 8, 20",,,,About 210 EUR,,,,"5 MP, AF",,GSM 850 / 900 / 1800 / 1900,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",,,"2015, March. Released 2015, May",GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a8.jpg,"8.0 inches, 198.2 cm2(~69.0% screen-to-body ratio)",Samsung Galaxy Tab A 8.0 (2015),,,,,"GPS, GLONASS - cellular model only",,"Li-Ion 4200 mAh, non-removable",,,Quad-core 1.2 GHz,,0.12 W/kg (head)     0.98 W/kg (body),,,Micro-SIM - cellular model only,,,,,microSDXC (dedicated slot),,,208.3 x 137.9 x 7.4 mm (8.20 x 5.43 x 0.29 in),,"16GB 1.5GB RAM (Wi-Fi), 32GB 2GB RAM (LTE)",microUSB 2.0,"SM-T350, SM-T355, SM-T355Y",,Yes,"4.0, A2DP",,,,313 g (11.04 oz),"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",720p,,"HSPA, LTE - cellular model only",,No,,,Samsung,,,,"Smoky Titanium, Smoky Blue, White",TFT,,,HSDPA 850 / 900 / 1900 / 2100,,,Accelerometer
IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810G compliant,2 MP,,"Android 4.4.4 (KitKat), upgradable to 5.0 (Lollipop)",,,Yes,,Marvell Armada PXA1908,,Discontinued,,,,,Up to 10 h (3G),,,,,,,Up to 85 h,,,FM radio,,"1, 3, 5, 7, 8, 20",,,,About 220 EUR,,,,"5 MP, AF",,GSM 850 / 900 / 1800 / 1900,"480 x 800 pixels, 5:3 ratio (~207 ppi density)",,,"2015, March. Released 2015, April",GSM / HSPA / LTE,,0.95 W/kg (head)     1.01 W/kg (body),,,Vivante GC7000,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-xcover-3-new.jpg,"4.5 inches, 57.6 cm2(~61.9% screen-to-body ratio)",Samsung Galaxy XCover 3,,,,,"GPS, GLONASS",,"Li-Ion 2200 mAh, removable",,LED flash,Quad-core 1.2 GHz Cortex-A53,,0.71 W/kg (head)     0.39 W/kg (body),,,Micro-SIM,,,,,microSDXC (dedicated slot),,,132.9 x 70.1 x 10 mm (5.23 x 2.76 x 0.39 in),,8GB 1.5GB RAM,microUSB 2.0,"SM-G388F, R3",,Yes,"4.0, A2DP",,,,154 g (5.43 oz),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",720p@30fps,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,Yes,,,Samsung,,,,Gray,PLS LCD,,,HSDPA 850 / 900 / 1900 / 2100,,,"Accelerometer, proximity, compass"
"CDMA 800 / 1900 - G925V, G925P, G925R","5 MP, f/1.9, 22mm (wide)",,"Android 5.0.2 (Lollipop), upgradable to 5.1 (Lollipop), TouchWiz UI",,,Yes,,Exynos 7420 Octa (14 nm),,Discontinued,HDR,,,,Up to 26 h (3G),,,,,,,Up to 58 h,,,No,15W wiredWireless (PMA),"2, 3, 4, 5, 7, 13 - G925V",,,,About 450 EUR,"2, 4, 5, 12, 13, 17, 25 - G925R",,,"16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF, OIS",,GSM 850 / 900 / 1800 / 1900 - G925V,"1440 x 2560 pixels, 16:9 ratio (~576 ppi density)",,,"2015, March. Released 2015, April",GSM / CDMA / HSPA / EVDO / LTE,"CDMA2000 1xEV-DO - G925V, G925P, G925R",0.88 W/kg (head)     1.17 W/kg (body),"ANT+S-Voice natural language commands and dictationSamsung Pay (Visa, MasterCard certified)",,Mali-T760MP8,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-edge-cdma.jpg,"5.1 inches, 71.7 cm2(~72.0% screen-to-body ratio)",Samsung Galaxy S6 edge (USA),,,,,"GPS, GLONASS",,"Li-Ion 2600 mAh, non-removable",,"LED flash, auto-HDR, panorama",Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),,0.30 W/kg (head)     0.49 W/kg (body),"2, 4, 5, 12, 25, 26, 41 - G925P",,Nano-SIM,,Yes,,,No,Corning Gorilla Glass 4,,142 x 70.1 x 7.1 mm (5.59 x 2.76 x 0.28 in),,"32GB 3GB RAM, 64GB 3GB RAM, 128GB 3GB RAM","microUSB 2.0, OTG","SM-G925P, SM-G925R, SM-G925V, SM-G925W8, SM-G925R4",,Yes,"4.1, A2DP, LE, aptX",,,,132 g (4.66 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4K@30fps, 1080p@30/60fps, 720p@120fps, HDR, stereo sound rec., OIS, gyro-EIS",,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps, EV-DO Rev.A 3.1 Mbps","Glass front (Gorilla Glass 4), glass back (Gorilla Glass 4), aluminum frame",Yes,24-bit/192kHz audio,,Samsung,,,,"White Pearl, Black Sapphire, Gold Platinum",Super AMOLED,,,HSDPA 850 / 900 / 1900 / 2100 - G925V,1440p@30fps,UFS 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2"
"CDMA 800 / 1900 - G920V, G920P, G920R","5 MP, f/1.9, 22mm (wide)",,"Android 5.0.2 (Lollipop), upgradable to 5.1 (Lollipop), TouchWiz UI",,,Yes,,Exynos 7420 Octa (14 nm),,Discontinued,HDR,,,,Up to 23 h (3G),,,,,,,Up to 57 h,,,No,15W wiredWireless (PMA),"2, 3, 4, 5, 7, 13 - G920V",,,,About 410 EUR,"2, 4, 5, 12, 13, 17, 25 - G920R",,,"16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF, OIS",,"GSM 850 / 900 / 1800 / 1900 - G920V, G920P","1440 x 2560 pixels, 16:9 ratio (~576 ppi density)",,,"2015, March. Released 2015, April",GSM / CDMA / HSPA / EVDO / LTE,"CDMA2000 1xEV-DO - G920V, G920P, G920R",1.09 W/kg (head)     1.13 W/kg (body),"ANT+S-Voice natural language commands and dictationSamsung Pay (Visa, MasterCard certified)",,Mali-T760MP8,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-cdma.jpg,"5.1 inches, 71.7 cm2(~70.8% screen-to-body ratio)",Samsung Galaxy S6 (USA),,,,,"GPS, GLONASS",,"Li-Ion 2550 mAh, non-removable",,"LED flash, auto-HDR, panorama",Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),,0.22 W/kg (head)     0.66 W/kg (body),"2, 4, 5, 12, 25, 26, 41 - G920P",,Nano-SIM,,Yes,,,No,Corning Gorilla Glass 4,,143.5 x 70.6 x 6.9 mm (5.65 x 2.78 x 0.27 in),,"32GB 3GB RAM, 64GB 3GB RAM, 128GB 3GB RAM","microUSB 2.0, OTG","SM-G920P, SM-G920V, SM-G920R, SM-G920W8, SM-G920R4, SM-G920T1, SM-G920AZ, SM-S907VL",,Yes,"4.1, A2DP, LE, aptX",,,,140 g (4.94 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4K@30fps, 1080p@30/60fps, 720p@120fps, HDR, stereo sound rec., OIS, gyro-EIS",,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps, EV-DO Rev.A 3.1 Mbps","Glass front (Gorilla Glass 4), glass back (Gorilla Glass 4), aluminum frame",Yes,24-bit/192kHz audio,,Samsung,,,,"White Pearl, Black Sapphire, Gold Platinum",Super AMOLED,,,HSDPA 850 / 900 / 1900 / 2100 - G920V,1440p@30fps,UFS 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2"
UFS 2.0,"5 MP, f/1.9, 22mm (wide)",,"Android 5.0.2 (Lollipop), upgradable to 7.0 (Nougat), TouchWiz UI",,,Yes,Voice 68dB / Noise 70dB / Ring 71dB,Exynos 7420 Octa (14 nm),,Discontinued,HDR,"Contrast ratio: Infinite (nominal),  4.124 (sunlight)",,,Up to 18 h (3G),,,,,,,Up to 50 h,,,No,15W wiredWireless (Qi/PMA) (market dependent),"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26",Photo/Video,,,About 280 EUR,,,,"16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF, OIS",,GSM 850 / 900 / 1800 / 1900,"1440 x 2560 pixels, 16:9 ratio (~577 ppi density)",,,"2015, March 01. Released 2015, April",GSM / HSPA / LTE,24-bit/192kHz audio,1.58 W/kg (head)     1.34 W/kg (body),,,Mali-T760MP8,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-edge.jpg,"5.1 inches, 71.5 cm2(~71.7% screen-to-body ratio)",Samsung Galaxy S6 edge,,,,,"GPS, GLONASS, BDS",,"Li-Ion 2600 mAh, non-removable",,"LED flash, auto-HDR, panorama",Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),,0.33 W/kg (head)     0.59 W/kg (body),"ANT+S-Voice natural language commands and dictationSamsung Pay (Visa, MasterCard certified)",,Nano-SIM,,Yes,Endurance rating 73h,,No,Corning Gorilla Glass 4,,142.1 x 70.1 x 7 mm (5.59 x 2.76 x 0.28 in),,"32GB 3GB RAM, 64GB 3GB RAM, 128GB 3GB RAM","microUSB 2.0, OTG","SM-G9250, SM-G925A, SM-G925F, SM-G925FQ, SM-G925I, SM-G925K, SM-G925L, SM-G925S, SM-G925T, SC-04G, 404SC, SM-G925D, SM-G925J",,Yes,"4.1, A2DP, LE, aptX",,,,132 g (4.66 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4K@30fps, 1080p@30/60fps, 720p@120fps, HDR, stereo sound rec., OIS, gyro-EIS",,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps","Glass front (Gorilla Glass 4), glass back (Gorilla Glass 4), aluminum frame",Yes,,,Samsung,,,Noise -95.6dB / Crosstalk -95.7dB,"White Pearl, Black Sapphire, Gold Platinum, Green Emerald",Super AMOLED,Basemark OS II 2.0: 1750Basemark X: 27046,,HSDPA 850 / 900 / 1900 / 2100,1440p@30fps,,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2"
UFS 2.0,"5 MP, f/1.9, 22mm (wide)",,"Android 5.0.2 (Lollipop), upgradable to Android 8.0 (Oreo), TouchWiz UI",,,Yes,,Exynos 7420 Octa (14 nm),,Discontinued,HDR,,,,Up to 17 h (3G),,,,,,,Up to 49 h,,,No,15W wiredWireless (Qi/PMA) (market dependent),"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26",,,,About 400 EUR,,,,"16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF, OIS",,GSM 850 / 900 / 1800 / 1900,"1440 x 2560 pixels, 16:9 ratio (~576 ppi density)",,,"2015, June. Released 2015, June",GSM / HSPA / LTE,24-bit/192kHz audio,,,,Mali-T760MP8,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6.jpg,"5.1 inches, 71.7 cm2(~70.9% screen-to-body ratio)",Samsung Galaxy S6 Duos,,,,,"GPS, GLONASS, BDS",,"Li-Ion 2550 mAh, non-removable",,"LED flash, auto-HDR, panorama",Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),,,"ANT+S-Voice natural language commands and dictationSamsung Pay (Visa, MasterCard certified)",,Nano-SIM + Nano-SIM,,Yes,,,No,Corning Gorilla Glass 4,,143.4 x 70.5 x 6.8 mm (5.65 x 2.78 x 0.27 in),,"32GB 3GB RAM, 64GB 3GB RAM, 128GB 3GB RAM","microUSB 2.0, OTG",SM-G920,,Yes,"4.1, A2DP, LE, aptX",,,,138 g (4.87 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps, 720p@120fps, HDR, stereo sound rec., OIS, gyro-EIS",,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps","Glass front (Gorilla Glass 4), glass back (Gorilla Glass 4), aluminum frame",Yes,,,Samsung,,,,"White Pearl, Black Sapphire, Gold Platinum",Super AMOLED,,,HSDPA 850 / 900 / 1900 / 2100,1440p@30fps,,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2"
UFS 2.0,"5 MP, f/1.9, 22mm (wide), 1/4.1"", 1.34µm",,"Android 5.0.2 (Lollipop), upgradable to Android 8.0 (Oreo), TouchWiz UI",,,Yes,Voice 68dB / Noise 66dB / Ring 73dB,Exynos 7420 Octa (14 nm),,Discontinued,HDR,"Contrast ratio: Infinite (nominal), 4.124 (sunlight)",,,Up to 17 h (3G),,,,,,,Up to 49 h,,,No,15W wiredWireless (Qi/PMA) (market dependent),"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26",Photo/Video,,,About 240 EUR,,,,"16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF, OIS",,GSM 850 / 900 / 1800 / 1900,"1440 x 2560 pixels, 16:9 ratio (~577 ppi density)",,,"2015, March 01. Released 2015, April",GSM / HSPA / LTE,24-bit/192kHz audio,1.15 W/kg (head)     1.16 W/kg (body),,,Mali-T760MP8,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6.jpg,"5.1 inches, 71.5 cm2(~70.7% screen-to-body ratio)",Samsung Galaxy S6,,,,,"GPS, GLONASS, BDS",,"Li-Ion 2550 mAh, non-removable",,"LED flash, auto-HDR, panorama",Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),,0.38 W/kg (head)     0.50 W/kg (body),"ANT+S-Voice natural language commands and dictationSamsung Pay (Visa, MasterCard certified)",,Nano-SIM,,Yes,Endurance rating 73h,,No,Corning Gorilla Glass 4,,143.4 x 70.5 x 6.8 mm (5.65 x 2.78 x 0.27 in),,"32GB 3GB RAM, 64GB 3GB RAM, 128GB 3GB RAM","microUSB 2.0, OTG","SM-G9200, SM-G9208, SM-G9208/SS, SM-G9209, SM-G920A, SM-G920F, SM-G920FD, SM-G920I, SM-G920S, SM-G920T, SM-G920K, SC-05G, SM-G920L, SM-G920, SM-G920R7",,Yes,"4.1, A2DP, LE, aptX",,,,138 g (4.87 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps, 720p@120fps, HDR, stereo sound rec., OIS, gyro-EIS",,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps","Glass front (Gorilla Glass 4), glass back (Gorilla Glass 4), aluminum frame",Yes,,,Samsung,,,Noise -95.6dB / Crosstalk -94.5dB,"White Pearl, Black Sapphire, Gold Platinum, Blue Topaz",Super AMOLED,Basemark OS II 2.0: 1641Basemark X: 22752,,HSDPA 850 / 900 / 1900 / 2100,1440p@30fps,,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2"
,2 MP,,Android 4.4.4 (KitKat),,,Yes,,,,Discontinued,,,,,,,,,,,,,,,"FM radio, RDS, recording",,"1, 3, 7, 8, 20",,,,About 120 EUR,,,,"5 MP, AF",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"480 x 800 pixels, 5:3 ratio (~217 ppi density)",,,"2015, January. Released 2015, March",GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j1-sm-j100h1.jpg,"4.3 inches, 52.6 cm2(~59.8% screen-to-body ratio)",Samsung Galaxy J1 4G,,,,,"GPS, GLONASS",,"Li-Ion 1850 mAh, removable",,LED flash,Quad-core 1.2 GHz,,,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,microSDXC (dedicated slot),,,129 x 68.2 x 8.9 mm (5.08 x 2.69 x 0.35 in),,4GB 768MB RAM,microUSB 2.0,SM-J120G,,Yes,"4.0, A2DP",,,,122 g (4.30 oz),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",720p@30fps,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,Yes,,,Samsung,,,,"White, Black, Blue",TFT,,,HSDPA 850 / 900 / 2100,,,"Accelerometer, proximity"
