,Price,USB,SAR EU,EDGE,SIM,Technology,Weight,GPRS,Radio,Chipset,Battery (old),Type_1,Speed,Charging,Display,Alert types,_3,Sensors,Build,Quad,Java,Single_1,CPU,GPU,Video_1,Call records,Languages,Announced,Stand-by_1,NFC,Loudspeaker,Features_1,Music play,Bluetooth,Colors,Dual,Talk time,Resolution,2G bands,Camera,4G bands,_2,Video,Messaging,Infrared port,_4,Brand,Talk time_1,Status,Type,Browser,_5,3.5mm jack,Loudspeaker_1,Phonebook,_1,Alarm,WLAN,Stand-by,Clock,Card slot,Model Name,Triple,Size,Games,Dimensions,Positioning,Model Image,SAR,Audio quality,Single,Models,OS,Protection,Internal,Keyboard,Features,3G bands
No,About 100 EUR,microUSB 2.0,,No,No,No cellular connectivity,350 g (12.35 oz),No,No,Rockchip RK2928,,"Li-ion 3240 mAh, non-removable",,,,,,,,,,,1.0 GHz Cortex-A9,,,,,"2013, January. Released 2013, May",,No,Yes,,,"2.1, A2DP",Black,,Up to 4 h,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",N/A,,,,Yes,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,Wi-Fi 802.11 b/g/n,Up to 125 h,,microSDHC (dedicated slot),alcatel One Touch Tab 7,,"7.0 inches, 137.9 cm2(~59.1% screen-to-body ratio)",,192.8 x 121 x 9.5 mm (7.59 x 4.76 x 0.37 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-tab-7.jpg,,,VGA,,Android 4.1 (Jelly Bean),,4GB 1GB RAM,,,
,About 110 EUR,microUSB 2.0,,No,No,No cellular connectivity,350 g (12.35 oz),No,No,Rockchip 3066,,"Li-Ion 3300 mAh, non-removable",,,,,,,,,,VGA,Dual-core 1.6 GHz Cortex-A9,,,,,"2013, January. Released 2013, May",,No,Yes,,,"2.1, A2DP",Black,,Up to 4 h,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",N/A,,,,Yes,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,Wi-Fi 802.11 b/g/n,Up to 125 h,,microSDHC (dedicated slot),alcatel One Touch Tab 7 HD,,"7.0 inches, 142.1 cm2(~59.5% screen-to-body ratio)",,191 x 125 x 9.1 mm (7.52 x 4.92 x 0.36 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-tab-7-hd-new.jpg,,,2 MP,,Android 4.1 (Jelly Bean),,8GB 1GB RAM,,,
HSDPA 850 / 1900 / 2100,About 270 EUR,microUSB 2.0,0.76 W/kg (head)     1.37 W/kg (body),,Micro-SIM,GSM / HSPA,115 g (4.06 oz),,"Stereo FM radio, RDS",Mediatek MT6577 (40 nm),,"Li-Ion 1800 mAh, non-removable",HSPA 7.2/0.384 Mbps,,,,,"Accelerometer, proximity, compass",,,,1.3 MP,Dual-core 1.2 GHz Cortex-A9,PowerVR SGX531T,,,,"2013, January. Released 2013, April",,No,Yes,,,"4.0, A2DP","Black, Red, Yellow, Green, Turquoise",,Up to 12 h (2G) / Up to 7 h (3G),"720 x 1280 pixels, 16:9 ratio (~316 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,1080p@30fps,,,,alcatel,,Discontinued,AMOLED,,,"No, included adaptor for 3.5mm",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 400 h (2G) / Up to 400 h (3G),,No,alcatel One Touch Idol Ultra,,"4.65 inches, 59.6 cm2(~64.7% screen-to-body ratio)",,134.4 x 68.5 x 6.5 mm (5.29 x 2.70 x 0.26 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-idol-ultra.jpg,,,"8 MP, AF",,Android 4.1 (Jelly Bean),Asahi Dragontrail Glass,16GB 1GB RAM,,LED flash,HSDPA 900 / 2100
HSDPA 850 / 1900,About 230 EUR,microUSB 2.0,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",GSM / HSPA,109 g (3.84 oz),,"Stereo FM radio, RDS",Mediatek MT6577 (40 nm),,"Li-Ion 1800 mAh, non-removable",HSPA 7.2/0.384 Mbps,,,,,"Accelerometer, proximity, compass",,,,2 MP,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,"2013, January. Released 2013, May",,No,Yes,,,"4.0, A2DP","Silver, Slate, Pink, Red, Yellow",,Up to 7 h 10 min (2G) / Up to 3 h 30 min (3G),"540 x 960 pixels, 16:9 ratio (~236 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,,Yes,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 415 h (2G) / Up to 410 h (3G),,microSDHC (dedicated slot),alcatel One Touch Idol,,"4.66 inches, 59.9 cm2(~66.7% screen-to-body ratio)",,133 x 67.5 x 7.9 mm (5.24 x 2.66 x 0.31 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-idol.jpg,,,"8 MP, AF","6030A, 6030D",Android 4.1 (Jelly Bean),Asahi Dragontrail Glass,"4GB / 13.3GB (dual SIM version), 1GB RAM",,LED flash,HSDPA 900 / 2100
HSDPA 850 / 1900 / 2100,About 100 EUR,microUSB 2.0,0.65 W/kg (head)     0.82 W/kg (body),,Mini-SIM,GSM / HSPA,118 g (4.16 oz),,"Stereo FM radio, RDS",Mediatek MT6575 (40 nm),,"Li-Ion 1400 mAh, removable",HSPA 7.2/0.384 Mbps,,,,,"Accelerometer, proximity",,,,,1.0 GHz Cortex-A9,PowerVR SGX531,,,,"2013, January. Released 2013, February",,No,Yes,,,"4.0, A2DP","Bluish Black, Pure White, Flash Red, Hot Pink, Turquoise, Apple Green, Tangerine",,Up to 14 h (2G) / Up to 7 h (3G),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,Yes,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,No,,"Wi-Fi 802.11 b/g/n, hotspot",,,microSDHC (dedicated slot),alcatel One Touch T'Pop,,"3.5 inches, 36.5 cm2(~50.9% screen-to-body ratio)",,115 x 62.3 x 12.2 mm (4.53 x 2.45 x 0.48 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-tpop.jpg,,,"2 MP, EU, or 3.2 MP, Americas",ONE TOUCH 4010X,Android 2.3 (Gingerbread),,512MB 256MB RAM,,,HSDPA 900 / 2100
HSDPA 850 / 1900 / 2100,About 100 EUR,microUSB 2.0,,,Mini-SIM,GSM / HSPA,122 g (4.30 oz),,"Stereo FM radio, RDS",Mediatek MT6575 (40 nm),,"Li-Ion 1400 mAh, removable",HSPA 7.2/0.384 Mbps,,,,,"Accelerometer, proximity",,,,VGA,1.0 GHz Cortex-A9,PowerVR SGX531,,,,"2013, January. Released 2013, February",,No,Yes,,,"4.0, A2DP",,,Up to 5 h (2G) / Up to 6 h (3G),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,Yes,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 254 h (2G) / Up to 350 h (3G),,microSDHC (dedicated slot),alcatel One Touch S'Pop,,"3.5 inches, 36.5 cm2(~51.8% screen-to-body ratio)",,115 x 61.2 x 12.2 mm (4.53 x 2.41 x 0.48 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-spop.jpg,,,3.15 MP,,Android 4.1 (Jelly Bean),,"4GB (2GB user available), 512MB RAM",,,HSDPA 900 / 2100
GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - 5020D,About 140 EUR,microUSB 2.0,1.04 W/kg (head)     1.31 W/kg (body),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,136.5 g (4.80 oz),,"Stereo FM radio, RDS",Mediatek MT6575 (40 nm),,"Li-Ion 1400 mAh, removable",HSPA 7.2/5.76 Mbps,,,,,"Accelerometer, proximity",,,,VGA,1.0 GHz Cortex-A9,PowerVR SGX531,,,,"2013, January. Released 2013, May",,No,Yes,,,"4.0, A2DP","Black, Aubergine, Cherry Red, Ocean Blue, Slate, Hot Pink, Tangerine, Turquoise, Apple Green, Pure White",,Up to 13 h 30 min (2G) / Up to 13 h (3G),"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900,,,HSDPA 850 / 1700 / 1900 / 2100,720p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,HSDPA 850 / 1900 / 2100,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 400 h (2G) / Up to 410 h (3G),,microSDHC (dedicated slot),alcatel One Touch M'Pop,,"4.0 inches, 45.5 cm2(~58.6% screen-to-body ratio)",,121.5 x 64 x 11.8 mm (4.78 x 2.52 x 0.46 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-mpop.jpg,,,"5 MP, AF (OT-5020W only)","5020D, 5020E, 5020W",Android 4.1 (Jelly Bean),,"4GB 512MB RAM, 4GB 1GB RAM (5020W)",,,HSDPA 900 / 2100
GSM 850 / 900 / 1800 / 1900 - OT-5035D (SIM 1 & SIM 2),About 150 EUR,microUSB 2.0,,,Mini-SIM,GSM / HSPA,139 g (4.90 oz),,"Stereo FM radio, RDS",Mediatek MT6577 (40 nm),,"Li-Ion 1800 mAh, removable",HSPA 7.2/5.76 Mbps,,,,,"Accelerometer, proximity, compass",,,,VGA,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,"2013, January. Released 2013, May",,Yes (OT-5035Y model only),Yes,,,"4.0, A2DP","Black, Aubergine, Cherry Red, Ocean Blue, Slate, Hot Pink, Tangerine, Turquoise, Apple Green, Pure White",,Up to 16 h (2G) / Up to 8 h 30 min (3G),"540 x 960 pixels, 16:9 ratio (~245 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,720p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,HSDPA 850 / 1900 / 2100,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 700 h (2G) / Up to 400 h (3G),,microSDHC (dedicated slot),alcatel One Touch X'Pop,,"4.5 inches, 55.8 cm2(~62.7% screen-to-body ratio)",,131 x 68 x 10.9 mm/ 11.3mm (NFC),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-xpop.jpg,,,"5 MP, AF","5035D, 5035E, 5035Y",Android 4.1 (Jelly Bean),"Asahi Dragontrail Glass, oleophobic coating","4GB (1GB user available), 512MB RAM",,LED flash,HSDPA 900 / 2100
HSDPA 850 / 1700 / 2100,About 350 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,135 g (4.76 oz),,"Stereo FM radio, RDS",Mediatek MT6589 (28 nm),,"Li-Ion 2500 mAh, removable","HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps",,,,,"Accelerometer, proximity, compass",,,,1.3 MP,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"2013, January. Released 2013, October",,No,Yes,,,"4.0, A2DP",Reddish Black,,Up to 11 h,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900,,LTE,,Yes,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 500 h,,microSDHC (dedicated slot),alcatel One Touch Scribe HD-LTE,,"5.0 inches, 68.9 cm2(~63.8% screen-to-body ratio)",,144 x 75 x 8.7 mm (5.67 x 2.95 x 0.34 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-scribe-lte.jpg,,,"8 MP, AF",,Android 4.1 (Jelly Bean),Scratch-resistant glass,4GB 1GB RAM,,LED flash,HSDPA 900 / 2100
HSDPA 850 / 1700 / 2100,About 620 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA,-,,"Stereo FM radio, RDS",Mediatek MT6589 (28 nm),,"Li-Ion 2500 mAh, removable",HSPA 42.2/5.76 Mbps,,,,,"Accelerometer, proximity, compass",,,,1 MP,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"2013, January. Released 2013, March",,No,Yes,,,"4.0, A2DP","White Devil, Black Devil, Twilight Blue, Carpet, Anodized Bluish Black, Anodized Cranberry Pink, White Carbon, Black Carbon",,Up to 9 h (2G) / Up to 5 h (3G),"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,1080p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 500 h (2G) / Up to 250 h (3G),,microSDHC (dedicated slot),alcatel One Touch Scribe X,,"5.0 inches, 68.9 cm2(~63.8% screen-to-body ratio)",,144 x 75 x 8.5 mm (5.67 x 2.95 x 0.33 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-scribe-x.jpg,,,"12 MP, AF",,Android 4.1 (Jelly Bean),,4GB 1GB RAM,,LED flash,HSDPA 900 / 2100
HSDPA 850 / 1900 / 2100,About 220 EUR,microUSB 2.0,0.29 W/kg (head)     0.95 W/kg (body),,Micro-SIM,GSM / HSPA,135 g (4.76 oz),,"Stereo FM radio, RDS",Mediatek MT6589 (28 nm),,"Li-Ion 2500 mAh, removable",HSPA 42.2/11.5 Mbps,,,,,"Accelerometer, proximity, compass",,,,Yes,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"2013, January. Released 2013, October",,No,Yes,,,"4.0, A2DP","Pure White, Black, Flash Red, Flash Yellow",,Up to 9 h (2G) / Up to 5 h (3G),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,Yes,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 500 h (2G) / Up to 250 h (3G),,microSDHC (dedicated slot),alcatel One Touch Scribe HD,,"5.0 inches, 68.9 cm2(~63.8% screen-to-body ratio)",,144 x 75 x 8.5 mm (5.67 x 2.95 x 0.33 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-scribe-hd.jpg,,,"8 MP, AF",,Android 4.1 (Jelly Bean),Asahi Dragontrail Glass,4GB 1GB RAM,,LED flash,HSDPA 900 / 2100
,,microUSB 2.0,,,Yes,GSM / HSPA,-,,No,,,"Li-Ion 1500 mAh, removable",HSPA,,,,,"Accelerometer, proximity",,,,Yes,1.0 GHz,,,,,,,No,Yes,,,"2.1, A2DP, EDR","White, Black, Pink, Orange",,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,480p@30fps,,,,alcatel,,Cancelled,IPS LCD,,,Yes,,,,,Wi-Fi 802.11 b/g,,,No,alcatel View,,"4.0 inches, 45.5 cm2",,-,GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-view.jpg,,,"5 MP, AF",,Microsoft Windows Phone 7.8,,4GB 512MB RAM,,LED flash,HSDPA 900 / 2100
No,About 50 EUR,microUSB 2.0,1.02 W/kg (head)     0.89 W/kg (body),,Mini-SIM,GSM / HSPA,136 g (4.80 oz),,"Stereo FM radio, RDS",BCM 21552G,,"Li-Ion 1300 mAh, removable",HSPA 7.2/5.76 Mbps,,,,,"Accelerometer, proximity, compass",,,,,1.0 GHz,,,,,"2012, November. Released 2012, November",,No,Yes,,Up to 30 h,"3.0, A2DP","Black, Cherry red",,Up to 20 h (2G) / Up to 6 h (3G),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,480p@15fps,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 500 h,,microSDHC (dedicated slot),alcatel OT-983,,"3.5 inches, 36.5 cm2(~52.2% screen-to-body ratio)",,114.5 x 61 x 12.5 mm (4.51 x 2.40 x 0.49 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-983.jpg,,,3.15 MP,,Android 2.3 (Gingerbread),,512MB 512MB RAM,,,HSDPA 900 / 2100
SRS audio,About 280 EUR,microUSB 2.0,,,"Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,143 g (5.04 oz),,"Stereo FM radio, RDS",Mediatek MT6577 (40 nm),,"Li-Ion 1800 mAh, removable",HSPA 7.2/5.76 Mbps,,,,,"Accelerometer, proximity, compass",,,,VGA,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,"2012, July. Released 2012, September",,No,Yes,,,"4.0, A2DP","Black, White",,Up to 16 h (2G) / Up to 8 h 30 min (3G),"480 x 800 pixels, 5:3 ratio (~217 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,720p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 400 h (2G) / Up to 350 h (3G),,microSDHC (dedicated slot),alcatel OT-997D,,"4.3 inches, 52.6 cm2(~59.6% screen-to-body ratio)",,129.8 x 68 x 11 mm (5.11 x 2.68 x 0.43 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-997d.jpg,0.50 W/kg (head)     0.74 W/kg (body),,"8 MP, AF",,Android 4.0 (Ice Cream Sandwich),,4GB 1GB RAM,,LED flash,HSDPA 900 / 2100
SRS audio,About 250 EUR,microUSB 2.0,0.50 W/kg (head)     0.74 W/kg (body),,Mini-SIM,GSM / HSPA,143 g (5.04 oz),,"Stereo FM radio, RDS",Mediatek MT6577 (40 nm),,"Li-Ion 1800 mAh, removable",HSPA 7.2/5.76 Mbps,,,,,"Accelerometer, proximity, compass",,,,VGA,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,"2012, August. Released 2012, September",,No,Yes,,,"4.0, A2DP","Ardesia, White, Dark Red, Orange",,Up to 16 h (2G) / Up to 8 h 30 min (3G),"480 x 800 pixels, 5:3 ratio (~217 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,720p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 400 h (2G) / Up to 350 h (3G),,microSDHC (dedicated slot),alcatel OT-997,,"4.3 inches, 52.6 cm2(~59.6% screen-to-body ratio)",,129.8 x 68 x 11 mm (5.11 x 2.68 x 0.43 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-997.jpg,0.50 W/kg (head)     0.74 W/kg (body),,"8 MP, AF",,Android 4.0 (Ice Cream Sandwich),Oleophobic coating,4GB 1GB RAM,,LED flash,HSDPA 900 / 2100
,,microUSB 2.0,0.48 W/kg (head)     0.62 W/kg (body),,"Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,-,,"FM radio, RDS",Mediatek MT6577 (40 nm),,"Li-Ion 1500 mAh, removable",HSPA 7.2/5.76 Mbps,,,,,Accelerometer,,,,VGA,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,2012. Released 2012,,No,Yes,,,"4.0, A2DP","Black, White, Red, Gold",,Up to 16 h (2G) / Up to 8 h 30 min (3G),"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,720p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 700 h (2G) / Up to 400 h (3G),,microSDHC (dedicated slot),alcatel OT-992D,,"4.0 inches, 45.5 cm2(~57.2% screen-to-body ratio)",,124 x 64.2 x 10.7 mm (4.88 x 2.53 x 0.42 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-992d.jpg,,,5 MP,,Android 4.0 (Ice Cream Sandwich),,4GB 512MB RAM,,LED flash,HSDPA 900 / 2100
,About 210 EUR,microUSB 2.0,,,Mini-SIM,GSM / HSPA,144.5 g (5.08 oz),,FM radio,,,"Li-Ion, removable",HSPA,,,,,"Accelerometer, proximity",,,,VGA,,,,,,2012,,No,Yes,,,"3.0, A2DP",Black,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,Yes,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,Wi-Fi 802.11 b/g,,,microSDHC (dedicated slot),alcatel OT-978,,"4.0 inches, 45.5 cm2(~54.1% screen-to-body ratio)",,127.4 x 66.1 x 10.9 mm (5.02 x 2.60 x 0.43 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-one-touch-978.jpg,,,3.15 MP,,Android 2.3 (Gingerbread),,512MB,,,HSDPA 2100
"IP54, dust and splash resistant",About 380 EUR,microUSB 2.0,,,Mini-SIM,CDMA / EVDO,155 g (5.47 oz),,FM radio,,,"Li-Ion 1400 mAh, removable",EV-DO Rev.A 3.1 Mbps,,,,,"Accelerometer, proximity",,,,,800 MHz Cortex-A5,,,,,"2012, October. Released 2012, October",,No,Yes,,,Yes,Black,,Up to 5 h,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",CDMA 800 / 1900,,,MP3/AAC+/WAV/WMA playerMP4/H.264 playerDocument viewerPhoto viewer/editor,Yes,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,No,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 396 h,,"microSDHC (dedicated slot), 2 GB included",alcatel OT-988 Shockwave,,"3.5 inches, 36.5 cm2(~46.1% screen-to-body ratio)",,119.9 x 66 x 13.7 mm (4.72 x 2.60 x 0.54 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-one-touch-shockwave.jpg,,,3.15 MP,,Android 2.3.5 (Gingerbread),,1GB 512MB RAM,,,CDMA2000 1xEV-DO
HSDPA 850 / 1900 / 2100,About 150 EUR,microUSB 2.0,0.50 W/kg (head)     0.51 W/kg (body),,Mini-SIM,GSM / HSPA,150 g (5.29 oz),,"Stereo FM radio, RDS",Mediatek MT6575 (40 nm),,Removable Li-Ion 1500 mAh battery,HSPA 7.2/0.384 Mbps,,,,,"Accelerometer, proximity, compass",,,,VGA,1.0 GHz Cortex-A9,PowerVR SGX531,,,,"2012, August. Released 2012, August",,,Yes,,,"3.0, A2DP","Black, White, Aubergine",,Up to 4 h (2G) / Up to 3 h (3G),"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,Yes,,,,alcatel,,Discontinued,TFT,,,Yes,,,MP3/AAC+/WAV/WMA playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memoPredictive text input,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 420 h,,microSDHC (dedicated slot),alcatel OT-993,,"4.0 inches, 45.5 cm2(~57.3% screen-to-body ratio)",,124.4 x 63.9 x 11.4 mm (4.90 x 2.52 x 0.45 in),"GPS, A-GPS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot993.jpg,,,"5 MP, AF",,Android 4.0 (Ice Cream Sandwich),,3GB,,LED flash,HSDPA 900 / 2100
GSM 850 / 900 / 1800 / 1900 - OT-903,About 50 EUR,microUSB 2.0,0.89 W/kg (head)     0.77 W/kg (body),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,114 g (4.02 oz),,"Stereo FM radio, RDS",Mediatek MT6573 (65 nm),,Removable Li-Ion 1300 mAh battery,HSPA 7.2/5.76 Mbps,,,,MP3/AAC+/WAV/WMA playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memoPredictive text input,"Accelerometer, proximity",,,,,650 MHz Cortex-A9,PowerVR SGX531,,,,"2012, August. Released 2012, August",,,Yes,,,"3.0, A2DP","Black, Pure White, Fuschia, Cherry Red",,Up to 11 h (2G) / Up to 6 h 30 min (3G),"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - OT-903D,,,No,Yes,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,HSDPA 850 / 1900 / 2100,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 300 h (2G) / Up to 300 h (3G),,microSDHC (dedicated slot),alcatel OT-903,,"2.8 inches, 24.3 cm2(~38.3% screen-to-body ratio)",,110 x 57.6 x 12.5 mm (4.33 x 2.27 x 0.49 in),"GPS, A-GPS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot903.jpg,0.89 W/kg (head)     0.77 W/kg (body),,2 MP,,Android 2.3 (Gingerbread),,150MB,,,HSDPA 900 / 2100
No,About 60 EUR,microUSB 2.0,,Class 12,Mini-SIM,GSM,101 g (3.56 oz),Class 12,"Stereo FM radio, RDS",,,Removable Li-Ion 1000 mAh battery,,,,,,,,,"Yes, MIDP 2.1",,208 MHz,,,Yes,,"2012, April. Released 2012, June",,,Yes,,,"2.1, A2DP","Black, Ocean Blue, Red, Lavender",,Up to 7 h,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,Yes,"SMS, MMS, Email, Push Email, IM",,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,Yes,Facebook integrationMP4/H.264 playerMP3 playerOrganizerPredictive text input,,Wi-Fi 802.11 b/g,Up to 530 h,,microSDHC (dedicated slot),alcatel OT-838,,"2.4 inches, 17.8 cm2(~25.4% screen-to-body ratio)",No,115 x 61 x 12.5 mm (4.53 x 2.40 x 0.49 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot838.jpg,,,2 MP,,,,2MB,QWERTY,,
GSM 900 / 1800,About 50 EUR,microUSB 2.0,,No,Mini-SIM,GSM,76 g (2.68 oz),Class 12,"Stereo FM radio, RDS",,,Removable Li-Ion 650 mAh battery,,,,,,,,,Yes,,104 MHz,,,Yes,,"Exp. announcement 2012, August. Released 2012, August",,,Yes,,,"2.1, A2DP","Black, Cherry Red, Aubergine",,Up to 6 h,128 x 160 pixels (~116 ppi density),GSM 850 / 1900,,,"Facebook, Twitter applicationsONE TOUCH Apps storeOrganizerPredictive text input",Yes,"SMS, MMS, Email",,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,Yes,No,,No,Up to 400 h,,microSDHC (dedicated slot),alcatel OT-668,,"1.77 inches, 9.9 cm2(~23.2% screen-to-body ratio)",No,92.5 x 46 x 17.2 mm (3.64 x 1.81 x 0.68 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot668.jpg,,,2 MP,,,,2MB,,,
No,,microUSB 2.0,,No,Mini-SIM,GSM,-,Class 12,"Stereo FM radio, RDS",,,Removable Li-Ion 850 mAh battery,,,,,,,,,No,,104 MHz,,,Yes,,"2012, August. Released 2012, August",,,Yes,,,"2.1, A2DP","Cherry Red, Raven",,Up to 7 h 40 min,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,Yes,"SMS, MMS",,,alcatel,,Discontinued,"TFT resistive touchscreen, 256K colors",,,Yes,,Yes,Facebook applicationWeather forecastONE TOUCH Apps storeOrganizerPredictive text input,,No,Up to 560 h,,microSDHC (dedicated slot),alcatel OT-605,,"2.4 inches, 17.8 cm2(~33.7% screen-to-body ratio)",No,98 x 54 x 12.7 mm (3.86 x 2.13 x 0.5 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot605.jpg,,,VGA,,,,,,,
