,Charging,Display,Protection,Models,Loudspeaker,Talk time,SAR EU,Size,3G bands,4G bands,Loudspeaker_1,Features,Talk time_1,Status,Radio,Camera,Chipset,Brand,Type,Bluetooth,Type_1,Java,_3,Model Name,Price,Announced,Sensors,_4,NFC,USB,Dual_1,WLAN,GPU,EDGE,Internal,SAR,5G bands,Dimensions,Video,Single,_1,Card slot,Games,Battery (old),_5,Music play,Speed,Colors,Performance,Keyboard,Technology,Alert types,Infrared port,Features_1,Audio quality,256GB 8GB RAM,256GB 12GB RAM,Model Image,Positioning,Browser,Stand-by_1,Stand-by,2G bands,Dual,OS,SIM,_6,Phonebook,Weight,Single_1,Resolution,CPU,GPRS,_2,Messaging,Call records,Quad,Video_1,Triple,Build,3.5mm jack
No,,Contrast ratio: 723 (nominal) / 1.300:1 (sunlight),,,Yes,,,"3.5 inches, 36.5 cm2(~56.1% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 64dB / Noise 64dB / Ring 72dB,,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm MSM7225A Snapdragon S1,HTC,IPS LCD,"3.0, A2DP",Removable Li-Ion 1230 mAh battery,,,HTC Desire C,About 120 EUR,"2012, May. Released 2012, June","Accelerometer, proximity",,Optional,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Adreno 200,,4GB 512MB RAM,0.75 W/kg (head)     0.64 W/kg (body),,107.2 x 60.6 x 12.3 mm (4.22 x 2.39 x 0.48 in),Yes,5 MP,Beats Audio,microSDHC (dedicated slot),,,,,HSPA 14.4/5.76 Mbps,"Polar White, Stealth Black, Flamenco Red",,,GSM / HSPA,,,,Noise -87.3dB / Crosstalk -84.5dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-c1.jpg,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,,"Android 4.0 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean), Sense UI 4",Mini-SIM,,,100 g (3.53 oz),,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",600 MHz Cortex-A5,,DivX/XviD/MP4/H.264/WMV playerDropbox (25 GB cloud storage)MP3/eAAC+/WMA/WAV playerOrganizerDocument viewer/editorVoice memo/dialPredictive text input,,,,,,,Yes
CDMA 800,,,,,Yes,,,"4.3 inches, 51.0 cm2(~58.7% screen-to-body ratio)",HSDPA 2100,,,LED flash,,Discontinued,No,,,HTC,AMOLED,"4.0, A2DP",Removable Li-Ion 1810 mAh battery,,,HTC J,About 220 EUR,"2012, April. Released 2012, August","Accelerometer, gyro, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot; WiMAX 802.16 e",,,16GB 1GB RAM,,,131.5 x 66 x 9.5 mm (5.18 x 2.60 x 0.37 in),1080p@30fps,"8 MP, AF",MP3/AAC+/WAV/WMA playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto viewer/editorVoice memo/dial/commandsPredictive text input,microSDHC (dedicated slot),,,,,HSPA,"Black, white, red",,,GSM / CDMA / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-j.jpg,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,,"Android 4.0.4 (Ice Cream Sandwich), Sense UI 4",Mini-SIM,,,137 g (4.83 oz),1.3 MP,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Dual-core 1.5 GHz,,,,,,720p,,,Yes
HSDPA 850 / 1900,,,Corning Gorilla Glass,,Yes,,,"4.0 inches, 44.1 cm2(~59.3% screen-to-body ratio)",CDMA2000 1xEV-DO,13 - Verizon,,LED flash,,Discontinued,No,,Qualcomm MSM8960 Snapdragon S4 Plus,HTC,S-LCD,"4.0, A2DP",Non-removable Li-Ion 1700 mAh battery,,,HTC DROID Incredible 4G LTE,About 270 EUR,"2012, May. Released 2012, July","Accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot",Adreno 225,,8GB 1GB RAM,,,121.9 x 61 x 11.7 mm (4.80 x 2.40 x 0.46 in),"1080p@30fps, stereo sound rec.","8 MP, AF",DivX/XviD/MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewer/editorVoice memo/dial/commandsPredictive text input,microSDHC (dedicated slot),,Endurance rating 42h,,,"HSPA, LTE, EV-DO Rev. A 3.1 Mbps",Black,,,CDMA / HSPA / EVDO / LTE,,,,Noise -83.0dB / Crosstalk -82.5dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-droid-incredible-4g-lte.jpg,"GPS, A-GPS",,,,CDMA 800 / 1900,,"Android 4.0.3 (Ice Cream Sandwich), Sense UI 4",Mini-SIM,,,132 g (4.66 oz),1.3 MP,"540 x 960 pixels, 16:9 ratio (~275 ppi density)",Dual-core 1.2 GHz Krait,,,,,,720p,,,Yes
Built-in kickstand,,,Corning Gorilla Glass,,Yes,Up to 7 h 30 min,,"4.7 inches, 60.9 cm2(~65.6% screen-to-body ratio)",CDMA2000 1xEV-DO,25,,LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM8960 Snapdragon S4 Plus,HTC,Super IPS LCD2,"4.0, A2DP",Non-removable Li-Ion 2000 mAh battery,,,HTC Evo 4G LTE,About 180 EUR,"2012, April. Released 2012, May","Accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot",Adreno 225,,16GB 1GB RAM,0.72 W/kg (head)     1.29 W/kg (body),,134.8 x 68.9 x 8.9 mm (5.31 x 2.71 x 0.35 in),"1080p@30fps, stereo sound rec.","8 MP, AF",MP4/DivX/Xvid/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument editorVoice memo/dial/commandsPredictive text input,microSDHC (dedicated slot),,,,,"LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps","Gray, White",,,CDMA / EVDO / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-evo-4g-lte-sprint.jpg,"GPS, A-GPS",,,,CDMA 800 / 1900,,"Android 4.0.3 (Ice Cream Sandwich), Sense UI 4",Mini-SIM,,,134 g (4.73 oz),1.3 MP,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Dual-core 1.5 GHz Krait,,,,,,720p,,,Yes
GSM 900 / 1800 / 1900,,,,,Yes,,,"4.7 inches, 60.9 cm2(~65.5% screen-to-body ratio)",CDMA2000 1xEV-DO,,,LED flash,,Discontinued,FM radio,,,HTC,IPS LCD,Yes,Removable Li-Ion 2000 mAh battery,,,HTC One XC,About 200 EUR,"2012, June. Released 2012, August","Accelerometer, gyro, proximity, compass",,,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 b/g/n, hotspot",,,16GB 1GB RAM,,,134.8 x 69 x 9.5 mm (5.31 x 2.72 x 0.37 in),"1080p@24fps, stereo sound rec.","8 MP, AF",MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewerVoice memo/dial/commandsPredictive text input,No,,,,,EV-DO Rev.A 3.1 Mbps,Black,,,GSM / CDMA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-xc.jpg,"GPS, A-GPS",,,,CDMA 800 / 1900,,"Android 4.0 (Ice Cream Sandwich), Sense UI",Mini-SIM,,,138.5 g (4.87 oz),1.3 MP,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Dual-core 1.5 GHz,,,,,,720p,,,Yes
TD-SCDMA - HTC One XT,,Contrast ratio: 1410:1 (nominal) / 2.158:1 (sunlight),Corning Gorilla Glass,One X,Yes,,,"4.7 inches, 60.9 cm2(~64.8% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,,Voice 65dB / Noise 66dB / Ring 75dB,LED flash,,Discontinued,"Stereo FM radio, RDS",Photo/Video,Nvidia Tegra 3,HTC,Super IPS LCD2,"4.0, A2DP, aptX",Non-removable Li-Po 1800 mAh battery,,,HTC One X,About 170 EUR,"2012, February. Released 2012, May","Accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot",ULP GeForce,,"16/32GB (26GB user available), 1GB RAM",0.68 W/kg (head)     0.70 W/kg (body),,134.4 x 69.9 x 8.9 mm (5.29 x 2.75 x 0.35 in),"1080p@24fps, stereo sound rec.","8 MP, AF",,No,,Endurance rating 37h,,,HSPA 21.1/5.76 Mbps,"Gray, White",,,GSM / HSPA,,,,Noise -82.1dB / Crosstalk -80.7dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-x-global.jpg,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,,"Android 4.0 (Ice Cream Sandwich), upgradable to 4.1.1 (Jelly Bean), Sense UI",Micro-SIM,,,130 g (4.59 oz),1.3 MP,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Quad-core 1.5 GHz,,,,,,720p,,,Yes
MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewer/editorVoice memo/dial/commandsPredictive text input,,,Corning Gorilla Glass,,Yes,Up to 8 h 30 min,,"4.7 inches, 60.9 cm2(~64.6% screen-to-body ratio)",HSDPA 850 / 1900 / 2100,"4, 17",,LED flash,,Discontinued,No,,Qualcomm MSM8960 Snapdragon S4 Plus,HTC,Super IPS LCD2,"4.0, A2DP, aptX",Non-removable Li-Po 1800 mAh battery,,,HTC One X AT&T,About 190 EUR,"2012, February. Released 2012, May","Accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot",Adreno 225,,16GB 1GB RAM,0.60 W/kg (head)     1.29 W/kg (body),,134.8 x 69.9 x 8.9 mm (5.31 x 2.75 x 0.35 in),"1080p@30fps, stereo sound rec.","8 MP, AF",,No,,,,,"HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps","Gray, White",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-x-ofic.jpg,"GPS, A-GPS",,,Up to 300 h,GSM 850 / 900 / 1800 / 1900,,"Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean), Sense UI",Mini-SIM,,,129 g (4.55 oz),1.3 MP,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Dual-core 1.5 GHz Krait,,,,,,720p,,,Yes
MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewer/editorVoice memo/dial/commandsPredictive text input,,,Corning Gorilla Glass,,Yes,,,"4.7 inches, 60.9 cm2(~64.6% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"3, 7",,LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM8960 Snapdragon S4 Plus,HTC,Super IPS LCD2,"4.0, A2DP, aptX",Non-removable Li-Po 1800 mAh battery,,,HTC One XL,About 180 EUR,"2012, February. Released 2012, May","Accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Adreno 225,,32GB 1GB RAM,0.60 W/kg (head)     1.29 W/kg (body),,134.8 x 69.9 x 8.9 mm (5.31 x 2.75 x 0.35 in),"1080p@30fps, stereo sound rec.","8 MP, AF",,No,,,,,"HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps","Gray, White",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-xl-global.jpg,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,,"Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean), Sense UI",Micro-SIM,,,129 g (4.55 oz),1.3 MP,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Dual-core 1.5 GHz Krait,,,,,,720p,,,Yes
MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewerVoice memo/dialPredictive text input,,Contrast ratio: Infinite (nominal) / 2.901:1 (sunlight),Corning Gorilla Glass,,Yes,,0.69 W/kg (head),"4.3 inches, 51.0 cm2(~59.9% screen-to-body ratio)",HSDPA 850 / 900 / 2100,,Voice 65dB / Noise 64dB / Ring 76dB,LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM8260 Snapdragon S3,HTC,Super AMOLED,"4.0, A2DP, aptX",Non-removable Li-Po 1650 mAh battery,,,HTC One S C2,About 180 EUR,"2012, May. Released 2012, June","Accelerometer, gyro, proximity, compass",,,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 220,,16GB 1GB RAM,,,130.9 x 65 x 7.8 mm (5.15 x 2.56 x 0.31 in),"1080p@30fps, stereo sound rec.","8 MP, AF",,No,,Endurance rating 35h,,,HSPA,Black,,,GSM / HSPA,,,,Noise -91.0dB / Crosstalk -92.6dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-s-new.jpg,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,,"Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean), Sense UI",Micro-SIM,,,119.5 g (4.20 oz),VGA,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Dual-core 1.7 GHz Scorpion,,,,,,,,,Yes
HSDPA 850 / 1700 / 1900 / 2100  - for T-Mobile,,Contrast ratio: Infinite (nominal) / 2.901:1 (sunlight),Corning Gorilla Glass,,Yes,Up to 10 h 30 min,,"4.3 inches, 51.0 cm2(~59.9% screen-to-body ratio)",HSDPA 850 / 900 / 2100,,Voice 65dB / Noise 64dB / Ring 76dB,LED flash,,Discontinued,"Stereo FM radio, RDS",Photo/Video,Qualcomm MSM8290,HTC,Super AMOLED,"4.0, A2DP, aptX",Non-removable Li-Po 1650 mAh battery,,,HTC One S,About 220 EUR,"2012, February. Released 2012, April","Accelerometer, gyro, proximity, compass",,,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 225,,16GB 1GB RAM,1.00 W/kg (head)     0.81 W/kg (body),,130.9 x 65 x 7.8 mm (5.15 x 2.56 x 0.31 in),"1080p@30fps, stereo sound rec.","8 MP, AF",MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewerVoice memo/dialPredictive text input,No,,Endurance rating 35h,,,HSPA 42.2/5.76 Mbps,Black,,,GSM / HSPA,,,,Noise -91.0dB / Crosstalk -92.6dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-s-new.jpg,"GPS, A-GPS",,,Up to 317 h,GSM 850 / 900 / 1800 / 1900,,"Android 4.0 (Ice Cream Sandwich), upgradable to 4.1.1 (Jelly Bean), Sense UI",Micro-SIM,,,119.5 g (4.20 oz),VGA,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Dual-core 1.5 GHz Krait,,,,,,,,,Yes
No,,Contrast ratio: 1053:1 (nominal) / 1.685:1 (sunlight),,,Yes,,0.87 W/kg (head),"3.7 inches, 39.0 cm2(~54.3% screen-to-body ratio)",HSDPA 850 / 900 / 2100,,Voice 66dB / Noise 65dB / Ring 67dB,LED flash,,Discontinued,"Stereo FM radio, RDS",Photo/Video,Qualcomm MSM8255 Snapdragon S2,HTC,Super LCD2,"4.0, A2DP, aptX",Non-removable Li-Ion 1500 mAh battery,,,HTC One V,About 130 EUR,"2012, February. Released 2012, April","Accelerometer, proximity",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Adreno 205,,"4GB (1GB user available), 512MB RAM",0.87 W/kg (head)     0.77 W/kg (body),,120.3 x 59.7 x 9.2 mm (4.74 x 2.35 x 0.36 in),720p,"5 MP, AF",Beats Audio,microSDHC (dedicated slot),,Endurance rating 31h,,,HSPA,"Black, Brown",,,GSM / HSPA,,,,Noise -81.7dB / Crosstalk -90.5dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-v.jpg,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,,"Android 4.0.3 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean), Sense UI 4",Mini-SIM,,,115 g (4.06 oz),,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",1.0 GHz Scorpion,,DivX/XviD/MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument editorVoice memo/dialPredictive text input,,,,,,,Yes
MP3/AAC+/WAV/WMA playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input,,,,,Yes,Up to 7 h 40 min (2G) / Up to 5 h 10 min (3G),,"4.5 inches, 55.8 cm2(~64.7% screen-to-body ratio)",HSDPA 900 / 2100,"7, 20",,Dual-LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM8260 Snapdragon S3,HTC,S-LCD,"3.0, A2DP",Removable Li-Ion 1620 mAh battery,,,HTC Velocity 4G Vodafone,About 160 EUR,"2012, February. Released 2012, May","Accelerometer, gyro, proximity, compass",,,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 220,,16GB 1GB RAM,,,128.8 x 67 x 11.3 mm (5.07 x 2.64 x 0.44 in),1080p@30fps,"8 MP, AF",,microSDHC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps","Black, White",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/vodafone-velocity-4g-vodafone.jpg,"GPS, A-GPS",,,Up to 293 h (2G) / Up to 248 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 2.3, Sense UI 3.5",Mini-SIM,,,163.8 g (5.75 oz),1.3 MP,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",Dual-core 1.5 GHz Scorpion,,,,,,720p,,,Yes
HSDPA 900 / 2100,,,,,Yes,Up to 7 h 40 min (2G) / Up to 5 h 10 min (3G),,"4.5 inches, 55.8 cm2(~64.7% screen-to-body ratio)",HSDPA 850 / 2100,3,,Dual-LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM8260 Snapdragon S3,HTC,S-LCD,"3.0, A2DP",Removable Li-Ion 1620 mAh battery,,,HTC Velocity 4G,About 200 EUR,"2012, January. Released 2012, January","Accelerometer, gyro, proximity, compass",,,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 220,,"16GB (13GB user available), 1GB RAM",,,128.8 x 67 x 11.3 mm (5.07 x 2.64 x 0.44 in),"1080p@60fps, 1080p@30fps","8 MP, AF",7,microSDHC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps",Black,,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-velocity-4g-ofic.jpg,"GPS, A-GPS",,,Up to 293 h (2G) / Up to 248 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 2.3.7 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich), Sense UI 3.5",Mini-SIM,,,163.8 g (5.75 oz),1.3 MP,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",Dual-core 1.5 GHz Scorpion,,MP3/AAC+/WAV/WMA playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input,,,,720p,,,Yes
HSDPA 850 / 2100  - HTC Titan 4G,,,,,Yes,Up to 4 h 20 min,,"4.7 inches, 62.9 cm2(~69.0% screen-to-body ratio)",HSDPA 850 / 1900 / 2100,"4, 17 - AT&T",,Dual-LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm Snapdragon S2,HTC,S-LCD,"2.1, A2DP, EDR",Non-removable Li-Ion 1730 mAh battery,,,HTC Titan II,About 200 EUR,"2012, January. Released 2012, April","Accelerometer, gyro, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, DLNA",,,16GB,0.60 W/kg (head)     1.36 W/kg (body),,132 x 69 x 13 mm (5.20 x 2.72 x 0.51 in),720p@30fps,"16 MP, AF",9 - Australia,No,,Endurance rating 23h,,,HSPA,Black,,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-titan-ii-real.jpg,"GPS, A-GPS; Bing Maps",,,Up to 290 h,GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Phone 7.5 Mango,Mini-SIM,,,147 g (5.19 oz),1.3 MP,"480 x 800 pixels, 5:3 ratio (~199 ppi density)",1.5 GHz Scorpion,,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerDocument viewer/editorVoice memo/dial/commandsPredictive text input,,,,,,,Yes
SRS WOW HD,,,,,Yes,Up to 6 h 24 min,1.40 W/kg (head),"4.3 inches, 51.0 cm2(~60.3% screen-to-body ratio)",CDMA2000 1xEV-DO,13 - Verizon,,Dual-LED flash,,Discontinued,No,,Qualcomm MSM8660 Snapdragon S3,HTC,S-LCD,"3.0, A2DP",Removable Li-Ion 1620 mAh battery,,,HTC Rezound,About 160 EUR,"2011, November. Released 2011, November","Accelerometer, gyro, proximity, compass",,,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",Adreno 220,,16GB 1GB RAM,1.25 W/kg (head)     1.12 W/kg (body),,129 x 65.5 x 13.7 mm (5.08 x 2.58 x 0.54 in),"1080p@30fps, stereo sound rec.","8 MP, AF",MP3/AAC+/WAV/WMA playerXviD/MP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input,"microSDHC (dedicated slot), 16 GB included",,Endurance rating 32h,,,"EV-DO Rev.A 3.1 Mbps, LTE Class 13",Black,,,CDMA / EVDO / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-rezound-new.jpg,"GPS, A-GPS",,,Up to 261 h,CDMA 800 / 1900,,"Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich), Sense UI 3",Mini-SIM,,,170.1 g (6.00 oz),2 MP,"720 x 1280 pixels, 16:9 ratio (~342 ppi density)",Dual-core 1.5 GHz Scorpion,,,,,,,,,Yes
MP3/AAC+/WAV/WMA playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input,,,,,Yes,Up to 7 h 40 min,,"4.5 inches, 55.8 cm2(~64.6% screen-to-body ratio)",HSDPA 850 / 1900 / 2100,"4, 17",,Dual-LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm APQ8060 Snapdragon S3,HTC,"S-LCD, 256K colors","3.0, A2DP",Removable Li-Ion 1620 mAh battery,,,HTC Vivid,About 160 EUR,"2011, October. Released 2011, November","Accelerometer, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 220,,16GB 1GB RAM,1.28 W/kg (head)     1.09 W/kg (body),,128.8 x 67.1 x 11.2 mm (5.07 x 2.64 x 0.44 in),1080p@30fps,"8 MP, AF",,microSDHC (dedicated slot),,Endurance rating 42h,,,"HSPA, LTE","Black, White",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-vivid.jpg,"GPS, A-GPS",,,Up to 288 h,GSM 850 / 900 / 1800 / 1900,,"Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich), Sense UI",Mini-SIM,,,176.9 g (6.21 oz),1.3 MP,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",Dual-core 1.2 GHz Scorpion,,,,,,,,,Yes
GSM 850 / 900 / 1800 / 1900,,,Corning Gorilla Glass,,Yes,Up to 6 h,,"4.0 inches, 44.1 cm2(~59.3% screen-to-body ratio)",CDMA2000 1xEV-DO,,,LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM8655 Snapdragon S2,HTC,LCD,"3.0, A2DP",Removable Li-Ion 1520 mAh battery,,,HTC EVO Design 4G,About 140 EUR,"2011, October. Released 2011, October","Accelerometer, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, WiMAX 802.16 e, hotspot, DLNA",Adreno 205,,4GB 768MB RAM,0.80 W/kg (head)     1.36 W/kg (body),,121.9 x 61 x 11.9 mm (4.80 x 2.40 x 0.47 in),720p,"5 MP, AF",HSDPA 2100,"microSDHC (dedicated slot), 8 GB included",,,,,"EV-DO Rev.A 3.1 Mbps, HSPA",Black,,,GSM / CDMA / HSPA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-evo-design-4g.jpg,"GPS, A-GPS",,,,CDMA 800 / 1900,,"Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich), Sense UI 3",Mini-SIM,,,147.4 g (5.19 oz),1.3 MP,"540 x 960 pixels, 16:9 ratio (~275 ppi density)",1.2 GHz Scorpion,,MP3/AAC+/WAV playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input,,,,,,,Yes
Beats headset,,Contrast ratio: 1085:1 (nominal),,,Yes,Up to 11 h 50 min (2G) / Up to 6 h 50 min (3G),0.32 W/kg (head),"4.7 inches, 62.9 cm2(~67.1% screen-to-body ratio)",HSDPA 850 / 900 / 2100,,Voice 70dB / Noise 61dB / Ring 70dB,"Dual-LED flash, HDR",,Discontinued,"Stereo FM radio, RDS",Photo/Video,Qualcomm MSM8255 Snapdragon S2,HTC,S-LCD,"3.0, A2DP",Removable Li-Ion 1600 mAh battery,,,HTC Sensation XL,About 170 EUR,"2011, October. Released 2011, November","Accelerometer, gyro, proximity, compass",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 205,,16GB 768MB RAM,,,132.5 x 70.7 x 9.9 mm (5.22 x 2.78 x 0.39 in),720p,"8 MP, AF",MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewer/editorVoice memo/dial/commandsPredictive text input,No,,Endurance rating 40h,,,HSPA 14.4/5.76 Mbps,White,,,GSM / HSPA,,,,Noise -85.2dB / Crosstalk -75.1dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-runnymede.jpg,"GPS, A-GPS",,,Up to 360 h (2G) / Up to 460 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich), Sense UI 3.5",Mini-SIM,,,162.5 g (5.75 oz),1.3 MP,"480 x 800 pixels, 5:3 ratio (~199 ppi density)",1.5 GHz Scorpion,,,,,,,,,Yes
